iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
5617,56.2,8007,2.62,0.45,0.03117,0.00561,-0.00657,5.86273,0.0161,0.00017,0.44446,0.01345,0.32344,0.19876,-0.01146,-0.0106,-0.00363,-0.00214,-0.01822,-0.00217,-0.01841,-0.01205,-0.02986,-0.00346,0.05699,-0.00868,0.12415,-0.00562,-0.00821,-0.00184,-0.01,7.59867,0
5618,59.4,7752,2.67,0.5,0.03145,0.00515,-0.00441,5.84401,0.01396,0.00011,0.44402,0.01257,0.37471,0.22444,-0.01322,-0.01311,-0.00384,-0.00313,-0.02111,-0.0028,-0.02532,-0.01604,-0.03583,-0.00216,0.06667,-0.00964,0.14781,-0.00618,-0.01331,0.0,0.0,8.89,0
5619,62.6,7717,2.66,0.52,0.03095,0.01322,-0.00567,5.83158,0.01436,0.00026,0.44385,0.01311,0.41513,0.2495,-0.0106,-0.01228,-0.0037,-0.00226,-0.02213,-0.00234,-0.02222,-0.01546,-0.0367,-0.00112,0.07062,-0.00833,0.157,-0.00734,-0.00875,0.0,0.0,9.416,0
5620,65.9,7340,2.8,0.55,0.02858,0.08124,-0.00708,5.83557,0.01417,0.00017,0.44432,0.01505,0.24861,0.14937,-0.02146,-0.01133,-0.00466,-0.00289,-0.01587,-0.00286,-0.01662,-0.00984,-0.02424,-0.01308,0.04566,-0.00955,0.09594,-0.00724,-0.0083,-0.00827,-0.0625,6.0875,0
5621,68.6,9364,2.1,0.52,0.02239,0.03991,-0.00758,5.84596,0.01379,0.00011,0.44465,0.02468,0.44196,0.27361,-0.01283,-0.01323,-0.00412,-0.00295,-0.02346,-0.00217,-0.02307,-0.01565,-0.04115,-0.00141,0.0774,-0.00892,0.16866,-0.00809,-0.00788,-0.00626,0.0,10.32,0
5622,71.4,8643,2.38,0.47,0.02404,0.03236,-0.00801,5.85651,0.01554,0.00011,0.44507,0.02576,0.39565,0.24772,-0.02078,-0.0157,-0.00669,-0.00434,-0.02324,-0.00338,-0.02352,-0.01429,-0.03819,-0.01054,0.07173,-0.01196,0.15481,-0.01277,-0.01131,0.0,-0.07917,9.56375,0
5623,74.4,8272,2.48,0.49,0.02888,0.02014,-0.00706,5.86374,0.02027,1e-05,0.44523,0.01867,0.44713,0.27522,-0.02785,-0.01926,-0.00717,-0.00541,-0.02914,-0.00473,-0.0293,-0.01676,-0.04533,-0.01238,0.08515,-0.01843,0.17784,-0.00903,-0.01382,-0.02253,-0.06667,11.35333,0
5624,77.4,8122,2.56,0.47,0.02963,0.00654,-0.00713,5.86313,0.00857,0.00011,0.44502,0.0157,0.43689,0.27392,-0.02225,-0.01709,-0.00658,-0.00392,-0.02609,-0.00372,-0.02689,-0.01649,-0.04189,-0.0064,0.07963,-0.01418,0.17168,-0.01138,-0.01397,0.0,-0.05,10.6175,0
5625,80.6,7746,2.66,0.51,0.03095,0.004,-0.00817,5.84648,0.01506,8e-05,0.44433,0.01368,0.50254,0.30766,-0.01287,-0.01306,-0.00436,-0.00224,-0.02451,-0.00207,-0.023,-0.01657,-0.04366,-0.00197,0.08467,-0.00991,0.15903,-0.00715,-0.01001,-0.01703,0.0,11.29,0
5626,83.6,8111,2.58,0.45,0.03149,0.00203,-0.00468,5.82679,0.01339,8e-05,0.44368,0.01272,0.49929,0.31978,-0.02394,-0.01707,-0.00774,-0.00423,-0.02907,-0.00424,-0.02836,-0.01804,-0.0466,-0.00469,0.09036,-0.01451,0.19635,-0.00952,-0.01317,0.0,-0.025,12.0475,0
5627,86.8,7757,2.66,0.51,0.03173,0.00232,-0.00675,5.80509,0.01111,0.00017,0.44265,0.01214,0.44691,0.27317,-0.01596,-0.01487,-0.00575,-0.00223,-0.02362,-0.00325,-0.02325,-0.01557,-0.04033,-0.00129,0.07805,-0.01128,0.16872,-0.00757,-0.0093,0.0,0.0,10.40667,0
5628,89.9,7828,2.6,0.54,0.0319,0.00141,-0.00798,5.76417,0.01501,0.00026,0.4407,0.01247,0.59243,0.36655,-0.01621,-0.01626,-0.00511,-0.00236,-0.03046,-0.00259,-0.02857,-0.01984,-0.05197,-0.00206,0.10212,-0.01183,0.19547,-0.00921,-0.01184,-0.02252,0.0,13.61667,0
5629,93.0,7940,2.61,0.48,0.0316,0.00107,-0.0086,5.70085,0.01442,0.00011,0.43887,0.01337,0.5974,0.37281,-0.01505,-0.01597,-0.00536,-0.00363,-0.03076,-0.00287,-0.02749,-0.02012,-0.05355,-0.00231,0.10562,-0.01225,0.17257,-0.00798,-0.01252,-0.04099,0.0,14.08286,0
5630,96.2,7724,2.68,0.5,0.03154,0.00095,-0.00401,5.66318,0.01181,8e-05,0.43795,0.01316,0.57547,0.35714,-0.01748,-0.01723,-0.00681,-0.00339,-0.03046,-0.00335,-0.02917,-0.01999,-0.05185,-0.00183,0.10148,-0.0137,0.19374,-0.00885,-0.01265,-0.02302,0.0,13.53111,0
5631,99.1,8389,2.42,0.51,0.0279,0.02158,-0.00775,5.64193,0.01244,0.00011,0.43747,0.01471,0.56015,0.35713,-0.01881,-0.0175,-0.00643,-0.00305,-0.03021,-0.00369,-0.03133,-0.02151,-0.0519,-0.00516,0.1014,-0.01535,0.20394,-0.0097,-0.0126,-0.01144,0.0,13.52,0
5632,101.9,8770,2.28,0.52,0.02761,0.00721,-0.00982,5.63752,0.01074,0.00011,0.43726,0.02046,0.58953,0.37376,-0.01508,-0.01742,-0.00666,-0.00345,-0.03055,-0.00306,-0.02896,-0.02009,-0.05319,-0.00196,0.10416,-0.01535,0.21441,-0.01043,-0.01114,-0.00926,0.0,13.8875,0
5633,104.9,8130,2.49,0.54,0.02951,0.02218,-0.00759,5.63395,0.01614,3e-05,0.43723,0.01791,0.59819,0.37949,-0.03431,-0.02067,-0.00933,-0.00596,-0.03433,-0.00503,-0.03459,-0.02228,-0.05664,-0.01081,0.10967,-0.01842,0.22208,-0.01647,-0.01878,-0.00875,-0.02667,14.623,0
5634,108.0,8055,2.58,0.47,0.03069,0.00306,-0.00945,5.63186,0.01081,0.00017,0.43679,0.01363,0.62306,0.38073,-0.02232,-0.01788,-0.00686,-0.00477,-0.03164,-0.00368,-0.0337,-0.02321,-0.05558,-0.00422,0.10915,-0.01388,0.19154,-0.00862,-0.01683,-0.02913,-0.01818,14.55273,0
5635,111.2,7767,2.65,0.51,0.03142,0.00827,-0.00457,5.61422,0.01416,0.00017,0.43658,0.01281,0.57392,0.3617,-0.02117,-0.01847,-0.00827,-0.00413,-0.03334,-0.00376,-0.03194,-0.02076,-0.05213,-0.0061,0.10241,-0.01904,0.22101,-0.01082,-0.01478,0.0,0.0,13.655,0
5636,114.3,7794,2.62,0.54,0.03165,0.01597,-0.0033,5.61294,0.01945,1e-05,0.4367,0.01293,0.58134,0.36504,-0.0209,-0.02142,-0.00752,-0.00318,-0.03222,-0.00353,-0.0326,-0.02144,-0.05286,-0.0076,0.10293,-0.01524,0.22518,-0.0113,-0.01256,0.0,-0.04,13.724,0
5637,117.4,7924,2.65,0.46,0.03163,0.0017,-0.00666,5.60931,0.00641,8e-05,0.43623,0.01188,0.47949,0.31061,-0.02038,-0.01616,-0.00618,-0.00461,-0.02823,-0.00343,-0.02708,-0.01701,-0.04401,-0.00683,0.08614,-0.01298,0.18769,-0.01017,-0.01214,0.0,-0.02857,11.48571,0
