t,l_hip_yaw_q,l_hip_yaw_dq,l_hip_yaw_tau,l_hip_roll_q,l_hip_roll_dq,l_hip_roll_tau,l_hip_pitch_q,l_hip_pitch_dq,l_hip_pitch_tau,l_knee_q,l_knee_dq,l_knee_tau,l_ankle_pitch_q,l_ankle_pitch_dq,l_ankle_pitch_tau,l_ankle_roll_q,l_ankle_roll_dq,l_ankle_roll_tau,r_hip_yaw_q,r_hip_yaw_dq,r_hip_yaw_tau,r_hip_roll_q,r_hip_roll_dq,r_hip_roll_tau,r_hip_pitch_q,r_hip_pitch_dq,r_hip_pitch_tau,r_knee_q,r_knee_dq,r_knee_tau,r_ankle_pitch_q,r_ankle_pitch_dq,r_ankle_pitch_tau,r_ankle_roll_q,r_ankle_roll_dq,r_ankle_roll_tau,l_ankle_motorA_tau,l_ankle_motorB_tau,l_ankle_motorA_w,l_ankle_motorB_w,com_ref_x,com_ref_y,zmp_ref_x,zmp_ref_y,contact_l,contact_r
0,-0,0,-0.0140129,0,-9.69631e-05,0.423123,-0.618006,-0.00680091,-1.07067,1.06949,-0.00132816,-15.8026,-0.451482,0.00812907,-2.28684,0,9.69631e-05,-0.0122311,-0,0,0.0246032,0,-9.69631e-05,-0.707494,-0.618006,-0.00680091,-0.990091,1.06949,-0.00132816,-16.3219,-0.451482,0.00812907,-2.35232,0,9.69631e-05,-0.0126413,-1.48581,-1.46361,0.00636988,0.00623567,0,0,0,0,True,True
0.005,-0,0,-0.00948447,-4.84816e-07,-0.000364704,0.314125,-0.61804,-0.00370753,-1.08393,1.06948,-0.000724078,-15.5514,-0.451441,0.00443161,-2.18393,4.84816e-07,0.000364704,-0.0217411,-0,0,0.0278689,-4.84816e-07,-0.000364704,-0.826439,-0.61804,-0.00370753,-0.937844,1.06948,-0.000724078,-16.4845,-0.451441,0.00443161,-2.29771,4.84816e-07,0.000364704,-0.0230724,-1.42473,-1.39199,0.00374387,0.00312666,-2.39509e-07,1.97533e-07,0,0,True,True
0.01,-0,0,-0.00121673,-3.64704e-06,-0.00106176,0.150413,-0.618043,-0.000839145,-0.853086,1.06948,-0.000163983,-14.5853,-0.451437,0.00100313,-0.987745,3.64704e-06,0.00106176,-0.0360046,-0,0,0.0146763,-3.64704e-06,-0.00106176,-1.01686,-0.618043,-0.000839145,-0.583276,1.06948,-0.000163983,-16.102,-0.451437,0.00100313,-1.07106,3.64704e-06,0.00106176,-0.0398108,-0.659416,-0.614607,0.00169924,-0.000148783,-1.62679e-06,1.48579e-06,0,0,True,True
0.015,-0,0,0.000630074,-1.11024e-05,-0.00199695,0.069099,-0.618049,-0.00112452,-0.645102,1.06948,-0.000219845,-13.8866,-0.451431,0.00134436,-0.00893156,1.11024e-05,0.00199695,-0.0430986,-0,0,-0.00238658,-1.11024e-05,-0.00199695,-1.11716,-0.618049,-0.00112452,-0.295438,1.06948,-0.000219845,-15.6586,-0.451431,0.00134436,0.00188326,1.11024e-05,0.00199695,-0.0486677,-0.0305483,0.0188923,0.00277659,-0.000701492,-4.048e-06,4.52236e-06,0,0,True,True
0.02,-0,0,0.000687924,-2.36165e-05,-0.00303741,0.0375272,-0.618055,-0.00111779,-0.697732,1.06948,-0.000218754,-13.9186,-0.451424,0.00133654,-0.176368,2.36165e-05,0.00303741,-0.0458891,-0,0,0.00075865,-2.36165e-05,-0.00303741,-1.15724,-0.618055,-0.00111779,-0.328347,1.06948,-0.000218754,-15.8239,-0.451424,0.00133654,-0.185419,2.36165e-05,0.00303741,-0.0522548,-0.140425,-0.0871848,0.00367561,-0.0016177,-6.74359e-06,9.61862e-06,0,0,True,True
0.025,-0,0,0.000739106,-4.14765e-05,-0.0041099,0.0322026,-0.61806,-0.000909338,-0.725857,1.06948,-0.000178417,-13.9675,-0.451418,0.00108775,-0.283497,4.14765e-05,0.0041099,-0.0464239,-0,0,0.00288028,-4.14765e-05,-0.0041099,-1.16408,-0.61806,-0.000909338,-0.355098,1.06948,-0.000178417,-15.9017,-0.451418,0.00108775,-0.306031,4.14765e-05,0.0041099,-0.0529417,-0.210008,-0.155768,0.00441615,-0.0027493,-9.13383e-06,1.68913e-05,0,0,True,True
0.03,-0,0,0.000702841,-6.47156e-05,-0.00517667,0.0399618,-0.618064,-0.000585699,-0.737592,1.06948,-0.000115795,-14.0154,-0.451413,0.000701493,-0.343539,6.47156e-05,0.00517667,-0.045846,-0,0,0.00404628,-6.47156e-05,-0.00517667,-1.15416,-0.618064,-0.000585699,-0.373964,1.06948,-0.000115795,-15.9244,-0.451413,0.000701493,-0.373089,6.47156e-05,0.00517667,-0.0521789,-0.248503,-0.194707,0.0050454,-0.00398279,-1.08815e-05,2.63539e-05,0,0,True,True
0.035,-0,0,0.000608352,-9.32432e-05,-0.0062203,0.0534938,-0.618066,-0.000200383,-0.740171,1.06948,-4.14031e-05,-14.0582,-0.451411,0.000241787,-0.374756,9.32432e-05,0.0062203,-0.0447894,-0,0,0.00460491,-9.32432e-05,-0.0062203,-1.13695,-0.618066,-0.000200383,-0.38711,1.06948,-4.14031e-05,-15.9179,-0.451411,0.000241787,-0.407187,9.32432e-05,0.0062203,-0.0507985,-0.268084,-0.215382,0.0055977,-0.00525318,-1.18006e-05,3.79695e-05,0,0,True,True
0.04,-0,0,0.000492894,-0.000126919,-0.0072346,0.0688708,-0.618066,0.000214322,-0.737899,1.06948,3.83908e-05,-14.0948,-0.451411,-0.000252713,-0.388653,0.000126919,0.0072346,-0.0435941,-0,0,0.00480657,-0.000126919,-0.0072346,-1.11753,-0.618066,0.000214322,-0.396225,1.06948,3.83908e-05,-15.8971,-0.451411,-0.000252713,-0.421613,0.000126919,0.0072346,-0.0492477,-0.276387,-0.224999,0.00609755,-0.00652498,-1.17973e-05,5.16806e-05,0,0,True,True
0.045,-0,0,0.000379605,-0.000165589,-0.00821912,0.0841225,-0.618064,0.000639506,-0.733279,1.06948,0.000119836,-14.1254,-0.451413,-0.000759342,-0.392428,0.000165589,0.00821912,-0.0424305,-0,0,0.00481166,-0.000165589,-0.00821912,-1.09842,-0.618064,0.000639506,-0.402562,1.06948,0.000119836,-15.8704,-0.451413,-0.000759342,-0.424701,0.000165589,0.00821912,-0.0477471,-0.278162,-0.228088,0.00656207,-0.00778019,-1.08328e-05,6.74254e-05,0,0,True,True
