case,stance,hip_height_m,com_x,com_y,hip_yaw_Nm,hip_yaw_deg,hip_roll_Nm,hip_roll_deg,hip_pitch_Nm,hip_pitch_deg,knee_Nm,knee_deg,ankle_pitch_Nm,ankle_pitch_deg,ankle_roll_Nm,ankle_roll_deg,ankle_motor_Nm
stand_double_nominal,both,0.54,0.015,0.0,0.0,-0.0,0.563,0.0,0.494,-34.15,14.38,61.46,1.838,-27.32,0.0,0.0,1.194
stand_double_deep_squat,both,0.34,0.015,0.0,0.0,-0.0,0.563,0.0,0.494,-71.64,23.972,118.55,1.838,-46.91,0.0,0.0,1.33
single_leg_nominal,l,0.54,0.015,0.1,0.0,-0.0,29.231,-13.97,4.304,-31.18,25.676,55.24,3.668,-24.06,0.0,13.97,2.491
single_leg_bent_knee90,l,0.44,0.015,0.1,0.0,-0.0,28.938,-17.12,5.55,-51.4,39.028,88.39,3.612,-36.98,0.0,17.12,2.701
single_leg_cop_toe,l,0.5,0.125,0.1,0.0,-0.0,29.824,-15.6,1.383,-20.63,18.872,64.98,31.065,-44.35,0.0,15.6,24.544
single_leg_cop_heel,l,0.5,-0.065,0.1,0.0,-0.0,28.733,-14.79,6.635,-48.8,36.783,65.34,16.367,-16.54,0.0,14.79,10.724
single_leg_cop_outer_edge,l,0.5,0.015,0.1375,0.0,-0.0,30.189,-20.38,4.523,-37.08,29.205,65.18,3.543,-28.1,9.707,20.38,7.627
single_leg_cop_inner_edge,l,0.5,0.015,0.0625,0.0,-0.0,28.115,-9.55,5.174,-42.16,34.33,73.52,3.727,-31.35,9.707,9.55,8.031
single_leg_cop_toe_outer_corner,l,0.5,0.125,0.1375,0.0,-0.0,31.019,-20.96,1.061,-17.62,15.812,59.16,30.119,-41.54,9.707,20.96,21.043
