iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4817,58.0,7670,2.74,0.47,0.02748,0.00234,-0.00707,6.18961,0.01462,0.00017,0.45006,0.0303,0.30637,0.11282,-0.01231,-0.01038,-0.00334,-0.0032,-0.0187,-0.00294,-0.01756,-0.01151,-0.03065,-0.00358,0.05472,-0.00742,0.11923,-0.00565,-0.01041,0.0,-0.01818,7.29636,0
4818,61.2,7596,2.78,0.46,0.02769,0.00181,-0.00866,6.15742,0.01256,0.00017,0.44869,0.0287,0.36974,0.13342,-0.01156,-0.0115,-0.00373,-0.00292,-0.02081,-0.00262,-0.01922,-0.01328,-0.03523,-0.00106,0.06553,-0.00731,0.14182,-0.00735,-0.01039,0.0,0.0,8.738,0
4819,64.5,7471,2.82,0.47,0.02716,0.009,-0.00548,6.12118,0.01467,8e-05,0.44794,0.03188,0.3908,0.14282,-0.01443,-0.01322,-0.00457,-0.00337,-0.02371,-0.00348,-0.02382,-0.01473,-0.03797,-0.00252,0.07011,-0.01006,0.15257,-0.00828,-0.0126,0.0,0.0,9.348,0
4820,67.8,7437,2.84,0.46,0.02537,0.05693,-0.00729,6.11754,0.0134,0.00038,0.44829,0.03376,0.39981,0.1471,-0.01873,-0.01456,-0.00528,-0.00367,-0.02422,-0.00365,-0.02334,-0.01548,-0.03965,-0.00385,0.07144,-0.01102,0.15247,-0.01126,-0.01141,0.0,-0.02,9.526,0
4821,70.5,9047,2.26,0.46,0.0189,0.02851,-0.01112,6.13534,0.01564,0.00017,0.4488,0.05508,0.40096,0.15172,-0.01374,-0.01337,-0.00474,-0.00403,-0.02374,-0.00322,-0.02136,-0.01434,-0.03962,-0.00151,0.07317,-0.01127,0.15537,-0.00797,-0.01107,-0.00317,0.0,9.75667,0
4822,73.4,8522,2.44,0.44,0.02156,0.0345,-0.00456,6.14661,0.0199,1e-05,0.44895,0.05794,0.44148,0.16582,-0.02249,-0.01655,-0.00616,-0.0039,-0.02576,-0.0037,-0.02524,-0.01725,-0.04323,-0.00771,0.07974,-0.01245,0.16921,-0.00852,-0.01186,-0.00141,0.0,10.632,0
4823,76.5,8053,2.6,0.45,0.02436,0.01131,-0.0072,6.15042,0.00925,0.00011,0.44914,0.04162,0.37923,0.14699,-0.03205,-0.01556,-0.0076,-0.00453,-0.02369,-0.00454,-0.02369,-0.01581,-0.03976,-0.01063,0.07151,-0.01371,0.14741,-0.01081,-0.01182,0.0,-0.08571,9.53524,0
4824,79.7,7684,2.73,0.47,0.02562,0.01586,-0.00365,6.15639,0.01877,1e-05,0.44927,0.03747,0.47075,0.1764,-0.02868,-0.01786,-0.00698,-0.00637,-0.02948,-0.00559,-0.02869,-0.01809,-0.04786,-0.0079,0.08831,-0.01864,0.18576,-0.01044,-0.01899,0.0,-0.0375,11.775,0
4825,82.9,7458,2.81,0.49,0.02683,0.00307,-0.00721,6.15532,0.00825,0.00011,0.44897,0.03132,0.51514,0.19825,-0.01396,-0.01458,-0.00555,-0.0023,-0.02853,-0.00361,-0.02439,-0.01894,-0.0494,-0.00266,0.09177,-0.01046,0.19697,-0.00923,-0.00903,-0.02435,0.0,12.236,0
4826,86.2,7654,2.74,0.47,0.02727,0.00714,-0.00726,6.14045,0.01565,0.00011,0.44842,0.02889,0.51696,0.19446,-0.07044,-0.02397,-0.01074,-0.00752,-0.03165,-0.00663,-0.03615,-0.02117,-0.05373,-0.01618,0.09564,-0.02183,0.20437,-0.02678,-0.02024,0.0,-0.04,12.752,0
4827,89.4,7655,2.73,0.48,0.02735,0.00118,-0.00774,6.12319,0.01328,0.00026,0.44716,0.02905,0.5034,0.18529,-0.02362,-0.01682,-0.00606,-0.00472,-0.0295,-0.00456,-0.02695,-0.01835,-0.0484,-0.0048,0.0894,-0.01375,0.19197,-0.01448,-0.01053,-0.00806,-0.01667,11.92,0
4828,92.6,7618,2.77,0.45,0.02751,0.0059,-0.00278,6.08699,0.01583,8e-05,0.44631,0.02551,0.55873,0.21031,-0.03495,-0.01875,-0.00928,-0.0057,-0.03289,-0.00467,-0.02916,-0.02015,-0.05472,-0.00528,0.10293,-0.01757,0.22097,-0.01102,-0.0147,-0.01948,-0.04,13.724,0
4829,95.9,7533,2.79,0.47,0.02723,0.00162,-0.00664,6.06583,0.01312,0.00017,0.44512,0.02734,0.47768,0.17653,-0.01353,-0.01408,-0.00466,-0.00347,-0.02621,-0.00308,-0.02329,-0.01686,-0.04455,-0.00291,0.08407,-0.00966,0.1831,-0.00757,-0.01071,-0.01879,-0.01111,11.20889,0
4830,99.2,7281,2.81,0.57,0.02735,0.00503,-0.00586,6.02875,0.01475,0.00011,0.44401,0.0254,0.59305,0.22049,-0.01534,-0.01724,-0.00594,-0.00334,-0.03114,-0.00343,-0.02798,-0.0217,-0.05494,-0.00211,0.10352,-0.01264,0.22408,-0.00979,-0.01134,-0.02381,0.0,13.80238,0
4831,102.2,8236,2.52,0.46,0.02347,0.03541,-0.00874,6.01621,0.01407,0.00011,0.44407,0.03134,0.46333,0.17259,-0.01699,-0.01598,-0.00548,-0.0036,-0.02758,-0.00408,-0.02507,-0.01706,-0.04416,-0.00544,0.08308,-0.01184,0.17976,-0.009,-0.01128,0.0,-0.02222,11.07778,0
4832,105.1,8598,2.4,0.46,0.02339,0.02741,-0.00861,6.029,0.01612,5e-05,0.44466,0.04207,0.59727,0.21867,-0.01465,-0.01577,-0.00525,-0.00354,-0.03139,-0.00347,-0.02546,-0.01933,-0.05455,-0.00175,0.10374,-0.01123,0.22574,-0.01003,-0.0101,-0.03163,0.0,13.83222,0
4833,108.2,7902,2.66,0.45,0.0254,0.00952,-0.00777,6.03866,0.0131,0.00017,0.44485,0.0316,0.48868,0.1782,-0.02046,-0.01712,-0.00606,-0.00367,-0.02821,-0.00449,-0.02722,-0.0186,-0.04663,-0.00414,0.08782,-0.01287,0.18732,-0.0094,-0.0122,-0.01118,-0.03,11.709,0
4834,111.4,7713,2.73,0.45,0.02648,0.00395,-0.00682,6.03834,0.01535,0.00017,0.44452,0.02847,0.56073,0.21294,-0.03857,-0.01986,-0.00819,-0.00478,-0.03466,-0.0057,-0.03407,-0.02208,-0.05681,-0.00812,0.10532,-0.01606,0.22314,-0.01979,-0.0181,-0.02103,-0.02222,14.04222,0
