iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4017,73.5,5165,4.21,0.54,0.02661,0.01173,-0.00484,5.70169,0.01876,1e-05,0.43525,0.0,0.34165,0.13213,-0.01425,-0.0118,-0.00654,-0.00277,-0.02146,-0.00248,-0.02164,-0.01378,-0.03217,-0.00215,0.06321,-0.01016,0.13588,-0.00674,-0.01048,0.0,0.0,8.4275,0
4018,77.9,5569,3.87,0.54,0.02618,0.00586,-0.00669,5.69766,0.00941,0.00011,0.43498,0.0,0.26481,0.10702,-0.01112,-0.01013,-0.00445,-0.00158,-0.01571,-0.00273,-0.01469,-0.01054,-0.02562,-0.00675,0.04911,-0.00836,0.09972,-0.00569,-0.00756,0.0,-0.05714,6.54857,0
4019,82.5,5341,4.07,0.53,0.02659,0.00448,-0.00941,5.68548,0.01443,0.00011,0.43435,0.0,0.35797,0.13884,-0.01705,-0.01265,-0.00578,-0.00208,-0.02283,-0.00312,-0.02201,-0.01405,-0.03458,-0.00187,0.06658,-0.01118,0.13624,-0.00795,-0.01362,0.0,0.0,8.8775,0
4020,87.0,5496,3.99,0.48,0.02492,0.1745,-0.00593,5.67731,0.01511,0.00017,0.43435,0.0,0.34996,0.13783,-0.01583,-0.01117,-0.00501,-0.00249,-0.02186,-0.00311,-0.02198,-0.01363,-0.03343,-0.00052,0.0642,-0.00931,0.13526,-0.008,-0.0127,0.0,0.0,8.56,0
4021,90.9,6262,3.33,0.59,0.01792,0.05118,-0.0101,5.68538,0.01478,0.00011,0.43459,0.0,0.3605,0.14407,-0.02378,-0.01408,-0.00657,-0.00329,-0.0233,-0.00437,-0.02489,-0.01591,-0.0366,-0.00299,0.06957,-0.01137,0.14342,-0.00871,-0.01577,-0.01714,-0.01429,9.27571,0
4022,95.1,5836,3.69,0.52,0.01887,0.02773,-0.00881,5.6917,0.01393,8e-05,0.43477,0.0,0.36139,0.14748,-0.01852,-0.01484,-0.00788,-0.0028,-0.02229,-0.00394,-0.02072,-0.01447,-0.03565,-0.0033,0.06938,-0.01394,0.14166,-0.0087,-0.0105,-0.02743,-0.10909,9.25091,0
4023,99.5,5639,3.98,0.37,0.02295,0.01415,-0.00967,5.69908,0.01315,0.00011,0.43502,0.0,0.42734,0.17316,-0.02514,-0.01662,-0.00954,-0.0061,-0.02781,-0.00552,-0.0244,-0.01757,-0.042,-0.00923,0.08247,-0.01764,0.16778,-0.00787,-0.01311,-0.05927,-0.10909,10.99636,0
4024,104.1,5343,4.07,0.53,0.02555,0.01234,-0.00783,5.70268,0.01471,0.00011,0.43508,0.0,0.4644,0.18272,-0.023,-0.01647,-0.00864,-0.00335,-0.02905,-0.00476,-0.02877,-0.01837,-0.04469,-0.00144,0.08755,-0.0158,0.17912,-0.01286,-0.0173,-0.00991,0.0,11.67333,0
4025,108.8,5192,4.25,0.48,0.02561,0.01025,-0.00736,5.7037,0.01378,0.00011,0.43502,0.0,0.44279,0.18482,-0.03032,-0.02072,-0.01094,-0.00245,-0.02998,-0.00625,-0.02692,-0.01931,-0.04705,-0.0038,0.09185,-0.02063,0.18324,-0.01237,-0.01505,-0.05555,-0.08333,12.24667,0
4026,113.7,5012,4.35,0.55,0.02626,0.01326,-0.00613,5.69996,0.01814,1e-05,0.43489,0.0,0.44031,0.17609,-0.01742,-0.01452,-0.00709,-0.0024,-0.02542,-0.00373,-0.02224,-0.01615,-0.04068,-0.00408,0.0801,-0.01202,0.16674,-0.01227,-0.01082,-0.00811,-0.0375,10.68,0
