iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
3017,70.5,7334,2.94,0.41,0.02941,0.03281,-0.00868,-2.33647,0.0152,5e-05,0.23016,0.23981,0.13307,-0.02049,-0.00774,-0.00677,-0.00178,-0.01064,-0.00139,-0.00971,-0.00476,-0.00857,-0.00304,0.0504,-0.00882,0.10556,-0.00749,-0.00656,0.0,-0.075,6.72,0
3018,73.7,7627,2.82,0.4,0.02901,0.02915,-0.00955,-2.32749,0.01358,8e-05,0.23032,0.21513,0.11655,-0.01633,-0.00742,-0.00818,-0.00283,-0.00973,-0.00144,-0.00861,-0.00432,-0.00782,-0.0014,0.04525,-0.00859,0.09328,-0.00712,-0.00627,0.0,-0.14167,6.03292,0
3019,77.0,7505,2.89,0.39,0.02884,0.0343,-0.00845,-2.31933,0.01453,3e-05,0.23042,0.24689,0.13125,-0.01287,-0.00796,-0.00727,-0.00186,-0.01125,-0.00131,-0.01137,-0.00508,-0.00909,-0.00187,0.05145,-0.00879,0.10967,-0.00528,-0.00682,0.0,-0.09286,6.86,0
3020,80.3,7381,2.91,0.42,0.02683,0.56238,-0.00606,-2.31197,0.01077,0.00011,0.23064,0.24772,0.14426,-0.02819,-0.01015,-0.0114,-0.00297,-0.01261,-0.00197,-0.01211,-0.00572,-0.01027,-0.00255,0.05707,-0.01262,0.11918,-0.00687,-0.00847,0.0,-0.14167,7.60972,0
3021,83.0,8950,2.36,0.38,0.02259,0.15929,-0.01042,-2.30032,0.01523,3e-05,0.2308,0.25491,0.13916,-0.0112,-0.00749,-0.00586,-0.00201,-0.01017,-0.00127,-0.00955,-0.00445,-0.00852,-0.00304,0.05102,-0.00677,0.10927,-0.00738,-0.00718,0.0,-0.11111,6.80333,0
3022,86.1,8040,2.64,0.42,0.02131,0.07742,-0.01105,-2.29242,0.01438,8e-05,0.231,0.3595,0.19379,-0.01931,-0.01035,-0.00953,-0.00267,-0.01313,-0.00138,-0.01162,-0.00593,-0.01177,-0.00257,0.0701,-0.0109,0.15038,-0.01114,-0.00738,-0.00426,-0.14211,9.34649,0
3023,89.6,6946,3.07,0.47,0.02552,0.04572,-0.01065,-2.28295,0.01587,2e-05,0.23114,0.35316,0.19045,-0.01465,-0.01032,-0.00898,-0.00304,-0.01332,-0.00148,-0.01227,-0.00606,-0.01192,-0.00254,0.07047,-0.01117,0.14915,-0.01075,-0.00946,-0.01241,-0.14375,9.39625,0
3024,93.1,7139,3.03,0.41,0.0261,0.05184,-0.00975,-2.27689,0.01151,8e-05,0.23128,0.35753,0.20375,-0.02502,-0.0118,-0.0116,-0.00314,-0.01568,-0.00187,-0.01359,-0.00667,-0.01325,-0.00213,0.07718,-0.01316,0.16125,-0.01115,-0.00958,-0.02156,-0.15333,10.29111,0
3025,96.4,7455,2.9,0.39,0.02724,0.02884,-0.00633,-2.2671,0.0145,5e-05,0.23144,0.31154,0.17273,-0.02195,-0.0094,-0.00855,-0.00248,-0.01224,-0.00153,-0.01085,-0.00556,-0.01068,-0.0033,0.06402,-0.01077,0.13479,-0.00973,-0.00726,-0.01001,-0.11026,8.53564,0
3026,99.6,7510,2.85,0.42,0.02819,0.01665,-0.00713,-2.26001,0.01388,8e-05,0.23157,0.3307,0.18503,-0.02169,-0.00985,-0.01017,-0.00245,-0.01306,-0.00174,-0.01074,-0.00586,-0.01138,-0.00355,0.06839,-0.01009,0.14366,-0.01204,-0.00688,-0.01696,-0.10714,9.11929,0
