iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4017,61.6,6333,3.37,0.51,0.02658,0.00264,-0.00991,5.35958,0.01418,0.00026,0.42155,0.02052,0.24839,0.09649,-0.01743,-0.01114,-0.00495,-0.00251,-0.01598,-0.0022,-0.01684,-0.00976,-0.02313,-0.00471,0.04738,-0.00928,0.10055,-0.00829,-0.01081,0.0,-0.0375,6.3175,0
4018,65.4,6430,3.23,0.59,0.02667,0.01597,-0.00273,5.32105,0.0214,1e-05,0.42094,0.02126,0.28289,0.10592,-0.01376,-0.01031,-0.00444,-0.00183,-0.0167,-0.00226,-0.01812,-0.0112,-0.02483,-0.00093,0.05073,-0.00731,0.10918,-0.00561,-0.01005,-0.00877,-0.01429,6.76429,0
4019,69.4,6122,3.46,0.56,0.02616,0.00839,-0.00629,5.31302,0.00753,0.00011,0.42044,0.02035,0.28531,0.11163,-0.02892,-0.01193,-0.00693,-0.00366,-0.01852,-0.00354,-0.01663,-0.00964,-0.02562,-0.00984,0.05297,-0.00995,0.10962,-0.00744,-0.0118,0.0,-0.1,7.0625,0
4020,73.4,6135,3.44,0.56,0.02508,0.17375,-0.0063,5.29884,0.01286,0.00017,0.42026,0.02135,0.39029,0.14869,-0.01441,-0.01254,-0.00523,-0.00216,-0.02221,-0.00272,-0.02096,-0.01398,-0.03334,-0.00067,0.06883,-0.00947,0.14779,-0.00752,-0.01182,-0.00012,0.0,9.17778,0
4021,76.6,7701,2.72,0.48,0.01839,0.11429,-0.00981,5.30356,0.01406,0.00011,0.42053,0.03492,0.35691,0.13208,-0.01781,-0.01424,-0.00642,-0.00213,-0.02121,-0.0031,-0.02037,-0.01344,-0.03102,-0.00492,0.06607,-0.01248,0.13785,-0.00953,-0.01285,-0.0026,-0.025,8.81,0
4022,80.2,6886,2.95,0.62,0.01724,0.06681,-0.01033,5.30671,0.01558,8e-05,0.42056,0.03776,0.43282,0.17008,-0.02627,-0.01724,-0.00793,-0.00376,-0.02545,-0.00394,-0.02213,-0.01524,-0.03833,-0.00399,0.08086,-0.01426,0.16745,-0.01199,-0.01149,-0.01773,-0.13333,10.78143,0
4023,83.8,6795,3.15,0.46,0.02086,0.01974,-0.01061,5.30675,0.01482,0.00011,0.42039,0.02746,0.34737,0.14073,-0.03743,-0.01683,-0.01171,-0.00456,-0.02222,-0.00456,-0.02086,-0.01353,-0.03269,-0.0087,0.06888,-0.01623,0.13759,-0.01297,-0.01198,-0.0087,-0.18,9.18422,0
4024,87.8,6161,3.37,0.62,0.02402,0.01661,-0.00762,5.30042,0.01415,8e-05,0.42021,0.02307,0.3384,0.13054,-0.02743,-0.01718,-0.00853,-0.00447,-0.02152,-0.00451,-0.02053,-0.01339,-0.03142,-0.00825,0.06602,-0.01463,0.13107,-0.01353,-0.01284,-0.04358,-0.11111,8.80333,0
4025,91.8,6156,3.51,0.48,0.02575,0.01025,-0.00721,5.29438,0.01403,0.00011,0.41986,0.02142,0.44689,0.1764,-0.01935,-0.01501,-0.00728,-0.00303,-0.02565,-0.00333,-0.0216,-0.01478,-0.03877,-0.00581,0.0821,-0.01371,0.16934,-0.01139,-0.01271,-0.00571,-0.03333,10.94667,0
4026,95.8,6091,3.44,0.6,0.02642,0.01228,-0.0079,5.2822,0.01389,5e-05,0.41955,0.0194,0.43323,0.16918,-0.03667,-0.01742,-0.00914,-0.00355,-0.02604,-0.00455,-0.02444,-0.01647,-0.03821,-0.00556,0.0816,-0.01576,0.16963,-0.01612,-0.01308,0.0,-0.02222,10.88,0
