iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,unstable_resets
56,88.5,15518,1.26,0.32,0.00018,0.00928,-0.01054,11.97767,0.01358,0.00017,0.66015,0
57,90.2,14766,1.34,0.33,0.0032,0.00852,-0.01038,11.90012,0.014,0.00058,0.65405,0
58,91.8,15381,1.28,0.31,0.00443,0.00674,-0.00982,11.79063,0.01511,0.00026,0.6499,0
59,93.3,15834,1.19,0.36,0.00586,0.00532,-0.01199,11.70101,0.01301,0.00038,0.64412,0
60,94.8,16118,1.22,0.31,0.0058,0.00427,-0.00984,11.55706,0.01609,0.00086,0.63521,0
61,96.4,16108,1.24,0.29,0.00681,0.00376,-0.01075,11.40028,0.01501,0.00058,0.6281,0
62,97.8,16781,1.18,0.29,0.00605,0.24464,-0.0052,11.28712,0.01588,0.00058,0.62515,0
63,99.2,17748,1.1,0.29,0.00547,0.06168,-0.01011,11.27833,0.0146,0.00026,0.62567,0
64,100.7,16175,1.21,0.31,-0.02403,0.02495,-0.00927,11.27978,0.01516,0.00017,0.62547,0
65,102.2,16522,1.2,0.29,-0.01258,0.01381,-0.00922,11.26658,0.01306,0.00017,0.62463,0
66,103.7,16590,1.19,0.29,-0.00016,0.0089,-0.00885,11.24001,0.01609,3e-05,0.62328,0
67,105.5,13905,1.23,0.53,0.00649,0.00592,-0.00552,11.21469,0.01387,3e-05,0.6219,0
68,107.0,16163,1.23,0.29,0.00651,0.00379,-0.00783,11.17826,0.00973,0.00026,0.61884,0
69,108.5,16640,1.21,0.27,0.00795,0.00355,-0.0108,11.077,0.01232,0.00026,0.61366,0
70,110.0,16482,1.22,0.27,0.00862,0.00268,-0.01154,10.96022,0.01345,0.00058,0.60617,0
71,111.5,16379,1.19,0.31,0.00879,0.00287,-0.01172,10.81214,0.01353,0.00026,0.60099,0
72,113.0,16273,1.23,0.28,0.00902,0.25519,-0.0039,10.73463,0.0129,0.00086,0.59874,0
73,114.4,17437,1.12,0.28,0.00694,0.10375,-0.00788,10.7312,0.01611,0.00038,0.59967,0
74,115.8,17636,1.1,0.29,-0.00391,0.03369,-0.00918,10.74638,0.01478,0.00026,0.6003,0
75,117.2,17577,1.11,0.29,-0.02875,0.01406,-0.00872,10.74664,0.01522,0.00011,0.60002,0
76,118.6,17202,1.14,0.28,-0.00095,0.00707,-0.00749,10.73128,0.01597,3e-05,0.59921,0
77,120.0,17079,1.15,0.29,0.00676,0.00416,-0.00864,10.70252,0.01102,0.00026,0.59649,0
78,121.5,17151,1.15,0.28,0.00885,0.00368,-0.00996,10.61027,0.01396,0.00026,0.59193,0
79,122.9,17192,1.15,0.28,0.00919,0.00231,-0.01252,10.50873,0.01299,0.00038,0.58654,0
80,124.4,16246,1.23,0.29,0.01023,0.00193,-0.01249,10.3839,0.01316,0.00038,0.58054,0
81,126.0,15992,1.25,0.29,0.01057,0.00177,-0.01122,10.25467,0.0133,0.00038,0.5748,0
82,127.4,16962,1.16,0.29,0.01085,0.00168,-0.01134,10.0982,0.01597,0.00086,0.56586,0
83,128.8,17294,1.13,0.29,0.00993,0.26334,-0.00662,9.98289,0.01585,0.00058,0.56558,0
84,130.2,18289,1.06,0.28,0.00854,0.04415,-0.0094,10.00278,0.01666,8e-05,0.56641,0
85,131.5,18203,1.08,0.27,-0.01349,0.01731,-0.00942,10.00721,0.01326,0.00017,0.56651,0
86,132.9,17511,1.12,0.28,-0.00349,0.00818,-0.00934,9.9953,0.01374,0.00011,0.56568,0
87,134.5,15735,1.26,0.3,0.00813,0.0045,-0.00732,9.9706,0.01645,2e-05,0.56466,0
88,136.1,14863,1.35,0.3,0.01018,0.00322,-0.00682,9.94796,0.01403,1e-05,0.56345,0
89,137.6,16498,1.21,0.28,0.01101,0.00306,-0.00624,9.92043,0.00965,0.00026,0.56144,0
90,139.1,17065,1.16,0.28,0.01125,0.00231,-0.01008,9.8331,0.01431,0.00058,0.55621,0
91,140.7,15529,1.28,0.3,0.01201,0.00194,-0.01125,9.72438,0.01368,0.00026,0.55271,0
92,142.5,13038,1.56,0.33,0.01228,0.00193,-0.01052,9.64475,0.01206,0.00026,0.54893,0
93,144.3,13982,1.42,0.34,0.01146,0.34811,-0.00375,9.57662,0.0122,0.00086,0.54745,0
94,145.9,15590,1.27,0.31,0.01034,0.10955,-0.0075,9.58532,0.01582,0.00058,0.54833,0
95,147.5,14808,1.34,0.32,-0.00444,0.03038,-0.0094,9.59164,0.01506,0.00017,0.54845,0
96,149.2,14881,1.35,0.3,-0.01555,0.01545,-0.00916,9.5903,0.01651,1e-05,0.54845,0
97,150.8,14925,1.35,0.29,0.00574,0.00824,-0.00533,9.58497,0.01358,1e-05,0.54809,0
98,152.5,14991,1.35,0.29,0.0108,0.00405,-0.00723,9.57191,0.01021,0.00026,0.54707,0
99,154.1,15429,1.3,0.29,0.01197,0.00331,-0.00852,9.52685,0.01302,0.00017,0.54513,0
100,155.8,14877,1.34,0.31,0.01211,0.00199,-0.00924,9.46041,0.01295,0.00058,0.54063,0
101,157.6,13080,1.58,0.3,0.0128,0.00175,-0.01017,9.35303,0.01381,0.00026,0.53732,0
102,159.4,13951,1.47,0.29,0.01291,0.00125,-0.01249,9.2672,0.01204,0.00038,0.53289,0
103,161.0,15284,1.34,0.27,0.01345,0.00138,-0.01255,9.13313,0.01465,0.00058,0.52632,0
104,162.5,16926,1.17,0.28,0.01168,0.28653,-0.01001,9.03734,0.0151,0.00026,0.52533,0
105,163.8,18232,1.08,0.26,0.00878,0.0382,-0.01077,9.05102,0.0174,2e-05,0.52603,0
106,165.2,17282,1.14,0.28,-0.01225,0.02071,-0.00783,9.05541,0.01022,0.00017,0.52608,0
107,167.2,12261,1.66,0.35,0.0011,0.00753,-0.00814,9.05197,0.01683,2e-05,0.52594,0
108,169.0,14024,1.43,0.32,0.01057,0.00303,-0.00678,9.04511,0.01072,8e-05,0.52556,0
109,170.7,14619,1.41,0.27,0.01264,0.00239,-0.00712,9.0257,0.01283,8e-05,0.52467,0
110,172.2,16057,1.26,0.28,0.01367,0.00175,-0.00888,8.98783,0.01198,0.00038,0.52227,0
111,173.8,15208,1.34,0.27,0.01392,0.00179,-0.01074,8.9075,0.01312,0.00038,0.51893,0
112,175.4,15830,1.26,0.3,0.01423,0.00141,-0.01132,8.7928,0.01545,0.00038,0.51352,0
113,177.0,14822,1.38,0.28,0.01444,0.00129,-0.01103,8.68506,0.01409,0.00038,0.51017,0
114,178.5,16738,1.18,0.29,0.01346,0.35018,-0.00457,8.62332,0.01581,0.00038,0.50929,0
115,179.9,18128,1.08,0.27,0.01284,0.06439,-0.01035,8.63256,0.01601,0.00026,0.5101,0
116,181.3,16816,1.19,0.28,-0.00224,0.01981,-0.01004,8.65289,0.01677,5e-05,0.51078,0
117,183.0,14326,1.39,0.32,-0.00657,0.0123,-0.00877,8.6564,0.01661,1e-05,0.51074,0
118,184.8,13781,1.45,0.34,0.00784,0.00546,-0.00614,8.65311,0.01266,1e-05,0.51055,0
119,186.8,12514,1.62,0.34,0.01371,0.00262,-0.00693,8.64467,0.00888,0.00017,0.50997,0
120,188.6,13335,1.51,0.33,0.01383,0.00141,-0.01053,8.58566,0.01395,0.00058,0.50579,0
121,190.5,13027,1.56,0.33,0.01491,0.00114,-0.0109,8.47237,0.01424,0.00038,0.50174,0
122,192.3,13926,1.46,0.3,0.01487,0.00124,-0.01026,8.37769,0.01388,0.00038,0.49843,0
123,194.0,14205,1.42,0.31,0.01512,0.00115,-0.01004,8.27954,0.01528,0.00058,0.49434,0
124,195.7,14172,1.42,0.31,0.01549,0.36512,-0.00201,8.2017,0.01551,0.00038,0.49344,0
125,197.4,15191,1.3,0.32,0.01295,0.10325,-0.00976,8.20497,0.01512,0.00017,0.49371,0
126,199.0,15167,1.32,0.3,0.00669,0.02944,-0.01024,8.2102,0.01426,0.00017,0.49397,0
127,200.4,17108,1.18,0.26,-0.01405,0.01592,-0.00929,8.21861,0.01463,0.00011,0.49432,0
128,202.0,15919,1.25,0.3,0.00369,0.00783,-0.00743,8.2198,0.0162,2e-05,0.49426,0
129,203.5,16446,1.23,0.27,0.01271,0.00339,-0.00672,8.21185,0.0115,8e-05,0.4937,0
130,204.9,16541,1.23,0.26,0.01386,0.00234,-0.00681,8.19119,0.01491,3e-05,0.49301,0
131,206.3,17786,1.13,0.26,0.01498,0.00177,-0.00695,8.1697,0.01179,0.00026,0.49158,0
132,207.8,17030,1.17,0.28,0.01497,0.00162,-0.00753,8.11537,0.01383,0.00017,0.48952,0
133,209.2,16904,1.2,0.25,0.01493,0.00098,-0.01095,8.03959,0.01269,0.00058,0.48492,0
134,210.6,17306,1.17,0.25,0.01575,0.00093,-0.01096,7.91249,0.01431,0.00038,0.48081,0
135,212.0,18233,1.1,0.25,0.01412,0.44068,-0.00627,7.83766,0.01621,0.00058,0.47975,0
136,213.4,16847,1.18,0.28,0.01354,0.04275,-0.00841,7.84806,0.01589,8e-05,0.4803,0
137,214.9,17045,1.19,0.25,-0.0064,0.02254,-0.00931,7.85773,0.01406,3e-05,0.48082,0
138,216.4,16362,1.25,0.25,0.00126,0.00747,-0.00787,7.86139,0.01127,0.00026,0.48071,0
139,217.9,16022,1.28,0.25,0.01161,0.00311,-0.01004,7.84309,0.01408,0.00026,0.4797,0
140,219.4,16560,1.2,0.28,0.01439,0.00238,-0.00355,7.80955,0.02107,1e-05,0.47876,0
141,221.1,14749,1.39,0.28,0.01551,0.00164,-0.00671,7.79531,0.00843,0.00017,0.47788,0
142,222.7,15275,1.34,0.27,0.01545,0.0013,-0.00961,7.7299,0.01446,0.00058,0.47421,0
143,224.2,15977,1.25,0.29,0.01568,0.00089,-0.01282,7.61733,0.01561,0.00038,0.4703,0
144,225.8,15137,1.35,0.28,0.0157,0.00082,-0.01198,7.50796,0.01507,0.00058,0.46567,0
145,227.4,15738,1.31,0.25,0.01564,0.47509,0.00211,7.423,0.01686,8e-05,0.46462,0
146,228.8,18179,1.1,0.25,0.01427,0.07869,-0.00853,7.42097,0.01259,0.00017,0.46478,0
147,230.1,18446,1.07,0.26,0.00445,0.02739,-0.00863,7.42605,0.01536,0.00011,0.46495,0
148,231.7,15313,1.33,0.28,-0.00587,0.0136,-0.00864,7.42742,0.01642,2e-05,0.46493,0
