iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
1521,44.1,14505,1.34,0.36,0.02246,0.14272,-0.00772,-0.76646,0.01384,8e-05,0.27174,0.36316,0.15908,-0.02103,-0.0158,-0.01126,-0.00406,-0.01838,-0.00463,-0.0214,-0.01016,-0.01839,-0.00058,0.078,-0.01975,0.14562,-0.00557,-0.0308,0.0,-0.2,10.4,0
1522,45.9,14016,1.4,0.36,0.02361,0.06436,-0.00876,-0.75689,0.01568,8e-05,0.27195,0.45781,0.2117,-0.02606,-0.01631,-0.0124,-0.00434,-0.01463,-0.00168,-0.01562,-0.00907,-0.01604,-0.00336,0.0818,-0.01694,0.17347,-0.01266,-0.0098,-0.01021,-0.2,10.90667,0
1523,47.7,13555,1.45,0.37,0.02291,0.01944,-0.00709,-0.74899,0.01503,2e-05,0.27206,0.46177,0.21952,-0.02094,-0.01402,-0.0132,-0.00386,-0.01528,-0.00151,-0.01489,-0.00879,-0.0166,-0.00279,0.08363,-0.01402,0.175,-0.01296,-0.00918,-0.01854,-0.2,11.15073,0
1524,49.5,13688,1.43,0.37,0.02711,0.01629,-0.00736,-0.74316,0.0136,3e-05,0.27223,0.46557,0.23084,-0.02327,-0.01468,-0.01342,-0.00405,-0.01636,-0.00161,-0.01655,-0.00905,-0.01758,-0.00262,0.08797,-0.01639,0.18142,-0.01136,-0.01103,-0.01459,-0.2,11.73,0
1525,51.4,12814,1.57,0.35,0.02827,0.00324,-0.00621,-0.73359,0.01334,0.00011,0.27248,0.476,0.23063,-0.0339,-0.01575,-0.01451,-0.00429,-0.0189,-0.00348,-0.02111,-0.01058,-0.01927,-0.00409,0.09157,-0.01474,0.18593,-0.01028,-0.01651,-0.0079,-0.2,12.21,0
1526,53.2,13916,1.4,0.36,0.0306,0.00083,-0.00588,-0.72603,0.0146,0.00017,0.27244,0.48505,0.24253,-0.05084,-0.0174,-0.01937,-0.00525,-0.02077,-0.00456,-0.02082,-0.01066,-0.01996,-0.00691,0.096,-0.01889,0.20082,-0.01353,-0.01521,0.0,-0.2,12.8,0
1527,55.1,12908,1.52,0.39,0.03157,0.00058,-0.00786,-0.73553,0.01295,0.00017,0.27194,0.48684,0.23524,-0.03221,-0.01694,-0.01989,-0.00441,-0.01979,-0.00279,-0.01923,-0.01098,-0.02012,-0.00216,0.09825,-0.02032,0.20664,-0.01375,-0.01575,0.0,-0.2,13.1,0
1528,56.9,13302,1.5,0.35,0.03184,0.00052,-0.00365,-0.75314,0.01379,8e-05,0.27157,,,,,,,,,,,,,,,,,,,,,0
1529,58.7,13667,1.43,0.37,0.03164,0.00046,-0.00703,-0.76912,0.01193,0.00011,0.2711,,,,,,,,,,,,,,,,,,,,,0
1530,60.5,13801,1.43,0.35,0.03124,0.00056,-0.00508,-0.79128,0.01384,0.00017,0.27061,,,,,,,,,,,,,,,,,,,,,0
1531,62.2,14964,1.3,0.34,0.02718,0.12347,-0.0059,-0.80129,0.01574,2e-05,0.27061,,,,,,,,,,,,,,,,,,,,,0
